university,year,rank,egescore_avg,egescore_contract,egescore_min,olympiad_winners,olympiad_other,target_admission_share,magistracy_share,aspirantura_share,external_masters,external_grad_share,aspirants_per_100_students,target_contract_in_tech,foreign_students_share,foreign_non_cis,foreign_cis,foreign_graduated,mobility_outbound,foreign_staff_share,foreign_professors,niokr_total,niokr_share_total,niokr_own_share,niokr_per_npr,npr_with_degree_percent,npr_per_100_students,ppc_salary_index,avg_salary_grads,scopus_publications,risc_publications,risc_citations,foreign_niokr_income,foreign_edu_income,total_income_per_student,self_income_per_npr,self_income_share,lib_books_per_student,area_per_student,pc_per_student,young_npr_share,journals_published,grants_per_100_npr,competition
ВГМУ,2024,81,60.5,49.5,37.5,0,0,9.7,5.0,5.5,25.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,150,0.001,68.0,0.2,34.5,0.0,0.002,0,0,0,0,0,200,0.0002,0.1,0.0,0.001,0.0,0.00,0.00,0,0.00,0.00
УГМУ,2024,82,60.2,49.2,37.2,0,0,9.8,4.8,5.2,24.8,39.8,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,100,0.0008,67.5,0.1,34.0,0.0,0.001,0,0,0,0,0,100,0.0001,0.05,0.0,0.0005,0.0,0.00,0.00,0,0.00,0.00
ОГМУ,2024,83,60.0,49.0,37.0,0,0,9.9,4.5,4.8,24.5,39.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,80,0.0005,67.0,0.08,33.5,0.0,0.0008,0,0,0,0,0,80,0.00008,0.02,0.0,0.0002,0.0,0.00,0.00,0,0.00,0.00
КГМУ,2024,84,59.8,48.8,36.8,0,0,10.0,4.2,4.5,24.2,39.2,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,60,0.0002,66.5,0.05,33.0,0.0,0.0005,0,0,0,0,0,60,0.00005,0.01,0.0,0.0001,0.0,0.00,0.00,0,0.00,0.00
ВолгГМУ,2024,85,59.5,48.5,36.5,0,0,10.1,4.0,4.2,24.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,40,0.0001,66.0,0.02,32.5,0.0,0.0002,0,0,0,0,0,40,0.00002,0.008,0.0,0.00005,0.0,0.00,0.00,0,0.00,0.00
НГМУ,2024,86,59.2,48.2,36.2,0,0,10.2,3.8,3.8,23.8,38.8,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,30,0.00008,65.5,0.01,32.0,0.0,0.0001,0,0,0,0,0,30,0.00001,0.005,0.0,0.00002,0.0,0.00,0.00,0,0.00,0.00
СГМУ,2024,87,59.0,48.0,36.0,0,0,10.3,3.5,3.5,23.5,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,25,0.00005,65.0,0.008,31.5,0.0,0.00008,0,0,0,0,0,25,0.000008,0.002,0.0,0.00001,0.0,0.00,0.00,0,0.00,0.00
БГМУ,2024,88,58.8,47.8,35.8,0,0,10.4,3.2,3.2,23.2,38.2,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,20,0.00002,64.5,0.005,31.0,0.0,0.00005,0,0,0,0,0,20,0.000005,0.001,0.0,0.000005,0.0,0.00,0.00,0,0.00,0.00
ПСПбГМУ,2024,89,58.5,47.5,35.5,0,0,10.5,3.0,2.8,23.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,15,0.00001,64.0,0.002,30.5,0.0,0.00002,0,0,0,0,0,15,0.000002,0.0008,0.0,0.000002,0.0,0.00,0.00,0,0.00,0.00
КБГУ,2024,90,58.2,47.2,35.2,0,0,10.6,2.8,2.5,22.8,37.8,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,12,0.000008,63.5,0.001,30.0,0.0,0.00001,0,0,0,0,0,12,0.000001,0.0005,0.0,0.000001,0.0,0.00,0.00,0,0.00,0.00
ДГМУ,2024,91,58.0,47.0,35.0,0,0,10.7,2.5,2.2,22.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,10,0.000005,63.0,0.0008,29.5,0.0,0.000008,0,0,0,0,0,10,0.0000008,0.0002,0.0,0.0000005,0.0,0.00,0.00,0,0.00,0.00
СОГУ,2024,92,57.8,46.8,34.8,0,0,10.8,2.2,1.8,22.2,37.2,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,8,0.000002,62.5,0.0005,29.0,0.0,0.000005,0,0,0,0,0,8,0.0000005,0.0001,0.0,0.0000002,0.0,0.00,0.00,0,0.00,0.00
ЧГПУ,2024,93,57.5,46.5,34.5,0,0,10.9,2.0,1.5,22.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,6,0.000001,62.0,0.0002,28.5,0.0,0.000002,0,0,0,0,0,6,0.0000002,0.00008,0.0,0.0000001,0.0,0.00,0.00,0,0.00,0.00
ИГМУ,2024,94,57.2,46.2,34.2,0,0,11.0,1.8,1.2,21.8,36.8,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,4,0.0000008,61.5,0.0001,28.0,0.0,0.000001,0,0,0,0,0,4,0.0000001,0.00005,0.0,0.00000008,0.0,0.00,0.00,0,0.00,0.00
АМГУ,2024,95,57.0,46.0,34.0,0,0,11.1,1.5,0.8,21.5,36.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,3,0.0000005,61.0,0.00008,27.5,0.0,0.0000008,0,0,0,0,0,3,0.00000008,0.00002,0.0,0.00000005,0.0,0.00,0.00,0,0.00,0.00
ТГМУ,2024,96,56.8,45.8,33.8,0,0,11.2,1.2,0.5,21.2,36.2,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,2,0.0000002,60.5,0.00005,27.0,0.0,0.0000005,0,0,0,0,0,2,0.00000005,0.00001,0.0,0.00000002,0.0,0.00,0.00,0,0.00,0.00
ЯГМУ,2024,97,56.5,45.5,33.5,0,0,11.3,1.0,0.2,21.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,1,0.0000001,60.0,0.00002,26.5,0.0,0.0000002,0,0,0,0,0,1,0.00000002,0.000008,0.0,0.00000001,0.0,0.00,0.00,0,0.00,0.00
МТУСИ,2024,98,56.2,45.2,33.2,0,0,11.4,0.8,0.1,20.8,35.8,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,0,0.00000008,59.5,0.00001,26.0,0.0,0.0000001,0,0,0,0,0,0,0.00000001,0.000005,0.0,0.000000008,0.0,0.00,0.00,0,0.00,0.00
УГАИ,2024,99,56.0,45.0,33.0,0,0,11.5,0.5,0.05,20.5,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,0,0.00000005,59.0,0.000008,25.5,0.0,0.00000008,0,0,0,0,0,0,0.000000008,0.000002,0.0,0.000000005,0.0,0.00,0.00,0,0.00,0.00
КГСХА,2024,100,55.8,44.8,32.8,0,0,11.6,0.2,0.02,20.2,35.2,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0,0,0.00000002,58.5,0.000005,25.0,0.0,0.00000005,0,0,0,0,0,0,0.000000005,0.000001,0.0,0.000000002,0.0,0.00,0.00,0,0.00,0.00
